id,left,top,right,bottom,row_index,col_index,20R_mean,25R_mean,dRL_mean,dNB_mean,Abs_mean,BASE_DATE,ADM_CD,TOT_OA_CD,Elderly_Ratio,Old_housing_Ratio,SAVI,DEM
15899,949675.9156,1692499.909,949775.9156,1692399.909,36,103,-3.88031 ,-0.86710 ,3.01321 ,-0.00350 ,32.70987 ,20250630 ,24040740 ,24040740010001 ,85.70000 ,2.70000 ,0.455506755,84.29235693
4554,942275.9156,1687399.909,942375.9156,1687299.909,87,29,-3.86347 ,-0.21475 ,3.64873 ,0.05187 ,33.36223 ,20250630 ,24040610 ,24040610020001 ,59.60000 ,2.00000 ,0.417395377,61.44011308
7916,944475.9156,1689999.909,944575.9156,1689899.909,61,51,-3.85103 ,-2.39667 ,1.45436 ,0.09595 ,31.18031 ,20250630 ,24040700 ,24040700020002 ,10.70000 ,0.00000 ,0.419189308,74.27337978
5464,942875.9156,1688799.909,942975.9156,1688699.909,73,35,-3.82635 ,-3.19774 ,0.62861 ,-0.02002 ,30.37923 ,20250630 ,24040800 ,24040800030001 ,37.90000 ,2.20000 ,0.487488683,64.27067669
6490,943575.9156,1693999.909,943675.9156,1693899.909,21,42,-3.70194 ,-4.84893 ,-1.14698 ,0.00951 ,28.72805 ,20250630 ,24040810 ,24040810050002 ,34.90000 ,2.60000 ,0.456929542,24.07094562
4637,942375.9156,1694499.909,942475.9156,1694399.909,16,30,-3.11309 ,-2.58222 ,0.53087 ,0.02750 ,30.99475 ,20250630 ,24040810 ,24040810030001 ,66.70000 ,3.90000 ,0.402284416,31.95120321
7450,944175.9156,1690399.909,944275.9156,1690299.909,57,48,-3.04696 ,-2.42469 ,0.62227 ,0.00320 ,31.15228 ,20250630 ,24040780 ,24040780010013 ,7.20000 ,3.10000 ,0.582568171,95.37240013
13571,948175.9156,1694299.909,948275.9156,1694199.909,18,88,-3.04215 ,-7.26961 ,-4.22746 ,-0.02555 ,26.30737 ,20250630 ,24040810 ,24040810040003 ,91.40000 ,1.30000 ,0.486278393,37.68048465
7157,943975.9156,1688899.909,944075.9156,1688799.909,72,46,-2.82768 ,-3.77539 ,-0.94771 ,-0.00534 ,29.80158 ,20250630 ,24040710 ,24040710010003 ,18.70000 ,1.70000 ,0.507654944,80.22652902
2827,941175.9156,1690699.909,941275.9156,1690599.909,54,18,-2.78037 ,-2.63484 ,0.14552 ,0.02247 ,30.94213 ,20250630 ,24040800 ,24040800020001 ,76.60000 ,10.00000 ,0.254298919,20.38028679
