id,left,top,right,bottom,row_index,col_index,20R_mean,25R_mean,dRL_mean,dNB_mean,Abs_mean,BASE_DATE,ADM_CD,TOT_OA_CD,SGIS_Maste,SGIS_Mas_1,SGIS_Mas_2,SGIS_Mas_3,JOIN_CD,JOIN_KEY
1,939375.915623063,1696099.90909134,939475.915623063,1695999.90909134,0,0,,,,,,,,,,,,,,
2,939375.915623063,1695999.90909134,939475.915623063,1695899.90909134,1,0,,,,,,,,,,,,,,
3,939375.915623063,1695899.90909134,939475.915623063,1695799.90909134,2,0,,,,,,,,,,,,,,
4,939375.915623063,1695799.90909134,939475.915623063,1695699.90909134,3,0,,,,,,,,,,,,,,
5,939375.915623063,1695699.90909134,939475.915623063,1695599.90909134,4,0,,,,,,,,,,,,,,
6,939375.915623063,1695599.90909134,939475.915623063,1695499.90909134,5,0,,,,,,,,,,,,,,
7,939375.915623063,1695499.90909134,939475.915623063,1695399.90909134,6,0,,,,,,,,,,,,,,
8,939375.915623063,1695399.90909134,939475.915623063,1695299.90909134,7,0,,,,,,,,,,,,,,
9,939375.915623063,1695299.90909134,939475.915623063,1695199.90909134,8,0,,,,,,,,,,,,,,
10,939375.915623063,1695199.90909134,939475.915623063,1695099.90909134,9,0,,,,,,,,,,,,,,
11,939375.915623063,1695099.90909134,939475.915623063,1694999.90909134,10,0,,,,,,,,,,,,,,
12,939375.915623063,1694999.90909134,939475.915623063,1694899.90909134,11,0,,,,,,,,,,,,,,
13,939375.915623063,1694899.90909134,939475.915623063,1694799.90909134,12,0,,,,,,,,,,,,,,
14,939375.915623063,1694799.90909134,939475.915623063,1694699.90909134,13,0,,,,,,,,,,,,,,
15,939375.915623063,1694699.90909134,939475.915623063,1694599.90909134,14,0,,,,,,,,,,,,,,
16,939375.915623063,1694599.90909134,939475.915623063,1694499.90909134,15,0,,,,,,,,,,,,,,
17,939375.915623063,1694499.90909134,939475.915623063,1694399.90909134,16,0,,,,,,,,,,,,,,
18,939375.915623063,1694399.90909134,939475.915623063,1694299.90909134,17,0,,,,,,,,,,,,,,
19,939375.915623063,1694299.90909134,939475.915623063,1694199.90909134,18,0,,,,,,,,,,,,,,
